QueryText,KccAns
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
INFORMATION REGARDING TO CONTROL OF PHALARIS MINOR IN CHILLI ?,THE PHALARIS MINOR CAN BE CONTROLLED IN CHILLI WITH HOEING ONLY.
Control of worm in lady finger?,Into
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
seed rate of moong?,15kg per acre for 668and 12kg per acre for 832.
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Sutable Verity of Paddy (Zhona) -P-121, Par-122, Par-118, Par-114,-114, Par-111, Par-116,-116, Par-116, Par-115, Pusa-44, Hakar-47, Pusa PunjabBasmati-1509, Punjab Basmati-3."
asking about weather forcasting?,it may be rainfall on 2rd april
HOW TO CONTROL YELLOW RUST IN WHEAT?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
Variety of Bhendi?,"punjab-8,7 padmani"
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
Flower Problem In grep plant?,Not requmended any medicen
Pest in wheat crop,ppray the confidor 80ml in 100liter water/acre
new varieties of paddy?,"But -121, but -122."
weather news of amritser,"cloudhy weather in amritser,"
information regarding to suitable varieties of mungbean,"p.a.u.-911, m.l.-613, m.l.--818- varieties of mungbean"
information regarding  to weather in amritsar dist.,20-30% chance of rain next 2 days in amritsar dist.
information regarding to seed rate of sorghum,20-25 kg seed /acre for fodder sorghum
information regarding to control of maize borer in sorghum,forate 3 kg /acre in sorghum
information regarding to control of jassid in chilli,spray of malathion  50 e.c. 400 m.l.+80-100 ltr water /acre in chilli
weather of amritsar ?,cloudy weather .
INFO REGARDING PROCESSED PRODUCTS OF ROSE?,REFER TO UNIVERSITY.
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) OR FOLICUR(TEBUCANOZOLE)@ 200 ML IN THE 200 LITRES OF WATER/AC
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,"FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP,PLS SPRAY 250ML DELTAMETHRIN  IN 150LITRE WATER/ACRE."
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,"Re: The Improide Verity of [Spring/Summer] Bhendi-: Punjab-8, Pusa Savani, Pusa Padmini, Punjab 7."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,"THE SUITABLE VARIETIES OF SUMMER MAIZE-LONG DURATION VARIETIES-PMH-1,PARBHAT,SHORT DURATION VARIETIES-PMH-2,JH-3459."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,"THE SUITABLE VARIETIES OF SQUASH MELON(TINDA) IS -TINDA-48,ARKA TINDA."
WEATHER IN AMRITSAR?,CHANCES OF RAIN.
Problem of Wilting In Bettel Gouf?,spray roko(thiophante methyl 70%wp) 1gm in 1 liter water.
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF CHILLI ?,"The improid Variety of Chilli-: F1, f 3, Punjab ruddy, Punjab scam, Punjab Lal."
information regarding to varieties of sorghum,s.l.-44- variety of sorghum
information regarding seedpr-121?,pau-01612401960
weather of amritsar,"Cloudhy weather in amritsar no chance of rain,,"
PROBLEM OF CATERPILLAR IN BITTER GOURD?,Into
INFORMATION REGARDING LOAN IN GOAT?,"REFER TO DEPUTY DIRECTOR ,,,AMRITSAR."
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,SPRAY PLANOFIX @ 1 ML IN 4-5 LT OF WATER
information regarding to control of red pumpkin beetle in pumpkin,spray of dimethoate 250 m.l.+100 ltr water /acre in pumpkin
information regarding varieties of paddy ?,"varieties of paddy-PR-121 ,PR-122 , PUSA PUNJAB BASMATI-1509 ."
INFORMATION REGARDING CONTOL OF STEM ROT IN ONION?,SPRAY INDOFIL M-45 @ 400GM IN 200 LITERS OF WATER/ACRE.
INFORMATION REGARDING SOWING TIME  NURSARY OF MARIGOLD?,SOWING TIME  NURSARY OF MARIGOLD MID SEP-NOV.
information regarding to control of jassid in okra,spray of dimethoate 30 e.c. 250 m.l.+100 ltr water /acre in pumpkin
new var. of paddy ?,"PR 121, and PR 122? of ?A? Grade paddy, ?Punjab Basmati 3 and Pusa Punjab Basmati 1509? of basmati rice,"
